categoria,taglia,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Stivali classici,35.0,ZIGN,Stivali texani / biker - black,"129,99","129,99",https://www.zalando.it/zign-stivali-alti-black-zi111a0q9-q11.html?size=35
Stivali classici,35.0,EVEN&ODD,Stivali alti - black,"41,99","69,99",https://www.zalando.it/evenandodd-stivali-con-i-tacchi-black-ev411a114-q11.html?size=35
Stivali classici,35.0,ALDO,HAY - Stivali alti - beige overflow,"81,99","149,99",https://www.zalando.it/aldo-hay-stivali-alti-beige-overflow-a0111a0wq-a11.html?size=35
Stivali classici,35.0,ZIGN,Stivali texani / biker - dark brown,"70,99","129,99",https://www.zalando.it/zign-stivali-alti-dark-brown-zi111a0q9-o11.html?size=35
Stivali classici,35.0,EVEN&ODD,Stivali alti - silver,"51,99","69,99",https://www.zalando.it/evenandodd-stivali-con-i-tacchi-silver-ev411a114-d11.html?size=35
Stivali classici,35.0,ALDO,PILLOW WALK PULL ON GLAJAR - Stivali con i tacchi - dark brown,"131,97","219,95",https://www.zalando.it/aldo-glajar-stivali-alti-dark-brown-a0111a119-o11.html?size=35
Stivali classici,35.0,ALDO,AGATHEA - Stivali alti - pewter,"98,99","179,99",https://www.zalando.it/aldo-agathea-pillow-walk-stivali-con-i-tacchi-pewter-a0111a11f-c11.html?size=35
Stivali classici,35.0,EVEN&ODD,Stivali alti - silver,"37,99","69,99",https://www.zalando.it/evenandodd-stivali-alti-silver-ev411a10q-d11.html?size=35
Stivali classici,36.0,TAMARIS,Stivali alti - taupe,"54,99","99,99",https://www.zalando.it/tamaris-stivali-alti-taupe-ta111a3vh-b11.html?size=36
Stivali classici,36.0,TAMARIS,Stivali alti - black,"96,99","149,99",https://www.zalando.it/tamaris-stivali-alti-black-ta111a4dd-q11.html?size=36
Stivali classici,36.0,ZIGN,LEATHER  - Stivali alti - black,"129,99","129,99",https://www.zalando.it/zign-leather-stivali-alti-black-zi111a0ri-q11.html?size=36
Stivali classici,36.0,TAMARIS,Stivali alti - black,"65,99","119,99",https://www.zalando.it/tamaris-stivali-alti-black-ta111a4ef-q11.html?size=36
Stivali classici,36.0,TAMARIS,Stivali alti - black,"119,95","119,95",https://www.zalando.it/tamaris-stivali-alti-black-ta111a4dj-q11.html?size=36
Stivali classici,36.0,TAMARIS,Stivali alti - black,"89,95","89,95",https://www.zalando.it/tamaris-stivali-alti-black-ta111a4da-q11.html?size=36
Stivali classici,36.0,EVEN&ODD,Stivali alti - black,"31,99","64,99",https://www.zalando.it/evenandodd-stivali-con-i-tacchi-black-ev411a115-q11.html?size=36
Stivali classici,36.0,TAMARIS,Stivali con i tacchi - black,"99,95","99,95",https://www.zalando.it/tamaris-stivali-alti-black-ta111a4g4-q11.html?size=36
Stivali classici,36.0,TAMARIS,Stivali alti - camel/multi-coloured,"59,99","109,99",https://www.zalando.it/tamaris-stivali-con-i-tacchi-camelmulti-coloured-ta111n2ef-b11.html?size=36
Stivali classici,36.0,TAMARIS,Stivali alti - black,"109,99","109,99",https://www.zalando.it/tamaris-online-exclusive-stivali-alti-black-ta111a3w3-q11.html?size=36
Stivali classici,36.0,EVEN&ODD,Stivali alti - black,"41,99","69,99",https://www.zalando.it/evenandodd-stivali-con-i-tacchi-black-ev411a114-q11.html?size=36
Stivali classici,36.0,TAMARIS,Stivali alti - black,"61,99","124,99",https://www.zalando.it/tamaris-stivali-alti-black-ta111a3y7-q11.html?size=36
Stivali classici,36.0,ALDO,HAY - Stivali alti - beige overflow,"81,99","149,99",https://www.zalando.it/aldo-hay-stivali-alti-beige-overflow-a0111a0wq-a11.html?size=36
Stivali classici,36.0,EVEN&ODD,Stivali alti - black,"55,49","64,99",https://www.zalando.it/evenandodd-stivali-alti-black-ev411a116-q11.html?size=36
Stivali classici,36.0,ZIGN,LEATHER  - Stivali alti - bordeaux,"129,99","129,99",https://www.zalando.it/zign-leather-stivali-alti-bordeaux-zi111a0ri-g11.html?size=36
Stivali classici,36.0,EVEN&ODD,Stivali alti - silver,"51,99","69,99",https://www.zalando.it/evenandodd-stivali-con-i-tacchi-silver-ev411a114-d11.html?size=36
Stivali classici,36.0,ZIGN,Stivali alti - black,"80,99","114,99",https://www.zalando.it/zign-stivali-alti-black-zi111a0sx-q11.html?size=36
Stivali classici,36.0,ZIGN,Stivali alti - black,"71,99","119,99",https://www.zalando.it/zign-stivali-con-i-tacchi-black-zi111a0sy-q11.html?size=36
Stivali classici,36.0,EVEN&ODD,Stivali alti - silver,"35,99","64,99",https://www.zalando.it/evenandodd-stivali-alti-silver-ev411a116-d11.html?size=36
Stivali classici,37.0,TAMARIS,Stivali alti - taupe,"54,99","99,99",https://www.zalando.it/tamaris-stivali-alti-taupe-ta111a3vh-b11.html?size=37
Stivali classici,37.0,TAMARIS,Stivali alti - black,"119,95","119,95",https://www.zalando.it/tamaris-stivali-alti-black-ta111a3yg-q11.html?size=37
Stivali classici,37.0,TAMARIS,Stivali alti - black,"96,99","149,99",https://www.zalando.it/tamaris-stivali-alti-black-ta111a4dd-q11.html?size=37
Stivali classici,37.0,ZIGN,LEATHER - Stivali alti - black,"119,99","119,99",https://www.zalando.it/zign-leather-stivali-alti-black-zi111a0sz-q11.html?size=37
Stivali classici,37.0,TAMARIS,Stivali alti - black,"119,95","119,95",https://www.zalando.it/tamaris-stivali-alti-black-ta111a4dj-q11.html?size=37
Stivali classici,37.0,TAMARIS,Stivali alti - black,"99,99","99,99",https://www.zalando.it/tamaris-stivali-alti-black-matt-ta111a3vi-q11.html?size=37
Stivali classici,37.0,TAMARIS,Stivali alti - muscat comb,"143,95","159,95",https://www.zalando.it/tamaris-stivali-alti-muscat-comb-ta111a4h4-o11.html?size=37
Stivali classici,37.0,EVEN&ODD,Stivali alti - black,"31,99","64,99",https://www.zalando.it/evenandodd-stivali-con-i-tacchi-black-ev411a115-q11.html?size=37
Stivali classici,37.0,TAMARIS,Stivali alti - black,"233,89","233,89",https://www.zalando.it/tamaris-stivaletti-texani-biker-black-ta111n232-q11.html?size=37
Stivali classici,37.0,TAMARIS,Stivali alti - black,"109,99","109,99",https://www.zalando.it/tamaris-online-exclusive-stivali-alti-black-ta111a3w3-q11.html?size=37
